fine_signature,stratum,task_type,complexity,domain,reviewer_model,n,mean_score,mean_workflow_cost,mean_estimated_cost,intervention_rate,success_rate,mean_reviewer_score
bugfix|c4|frontend,unknown_large,bugfix,4.0,frontend,gpt-5.5,4,0.7375,12.92584040625,0.505777275,0.75,0.25,0.6625
bugfix|c4|full-stack,ts_std_large,bugfix,4.0,full-stack,claude-haiku-4-5-20251001,7,0.87,9.561369642857143,0.36066997142857143,0.42857142857142855,1.0,0.7542857142857143
bugfix|c4|full-stack,unknown_large,bugfix,4.0,full-stack,claude-haiku-4-5-20251001,3,0.7366666666666667,14.641218458333334,0.27490186666666666,0.6666666666666666,0.3333333333333333,0.7000000000000001
bugfix|c4|full-stack,unknown_med,bugfix,4.0,full-stack,claude-haiku-4-5-20251001,4,0.7050000000000001,13.413234625,0.42741045,0.75,0.5,0.6125
bugfix|c4|full-stack,unknown_med,bugfix,4.0,full-stack,claude-opus-4-6,1,0.87,14.618357175,0.3712762,0.0,1.0,0.8
bugfix|c4|full-stack,ts_std_large,bugfix,4.0,full-stack,claude-opus-4-7,13,0.7576923076923077,18.538090170384613,0.4570441,0.5384615384615384,0.5384615384615384,0.6476923076923077
bugfix|c4|full-stack,ts_std_med,bugfix,4.0,full-stack,claude-opus-4-7,1,0.6,8.487660875,0.3894642,1.0,0.0,0.68
bugfix|c4|full-stack,unknown_large,bugfix,4.0,full-stack,claude-opus-4-7,7,0.8485714285714286,33.52388630785714,0.7664514142857143,0.42857142857142855,0.7142857142857143,0.7185714285714286
bugfix|c4|full-stack,unknown_med,bugfix,4.0,full-stack,claude-opus-4-7,4,0.81,13.1186612825,0.468926975,0.25,0.75,0.725
bugfix|c4|full-stack,ts_std_large,bugfix,4.0,full-stack,claude-opus-4-8,2,0.915,40.8939535,0.28168705,0.5,1.0,0.765
bugfix|c4|full-stack,unknown_large,bugfix,4.0,full-stack,glm-5.2,1,0.91,10.140538375,0.48226440000000004,0.0,1.0,0.82
bugfix|c4|full-stack,ts_std_large,bugfix,4.0,full-stack,gpt-5.4,1,0.6,15.89683625,0.5174175,1.0,0.0,0.5
bugfix|c4|full-stack,ts_std_large,bugfix,4.0,full-stack,gpt-5.5,19,0.8010526315789473,12.219141884736842,0.4816911842105263,0.47368421052631576,0.631578947368421,0.7273684210526316
bugfix|c4|full-stack,unknown_large,bugfix,4.0,full-stack,gpt-5.5,4,0.74,27.02366325,0.47066525000000003,0.25,0.5,0.58
bugfix|c4|full-stack,unknown_med,bugfix,4.0,full-stack,gpt-5.5,1,0.55,12.179480125000001,0.290401,1.0,0.0,0.55
